# 大きい,小さい
# ペンギン > 白鳥 > にわとり > ふくろう > すずめ
ペンギン,1,白鳥,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# すずめ = ふくろう = ペンギン > 白鳥 > にわとり
すずめ,1,ふくろう,1,ペンギン,1,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# もやし = 玉ねぎ = ほうれん草 > 白菜 = ナス = かぼちゃ > きゅうり
もやし,1,玉ねぎ,1,ほうれん草,1,白菜,4,ナス,4,かぼちゃ,4,きゅうり,7
# 美味しい,不味い
# もやし > ナス > かぼちゃ > 玉ねぎ > 白菜 > ほうれん草 > きゅうり
もやし,1,ナス,2,かぼちゃ,3,玉ねぎ,4,白菜,5,ほうれん草,6,きゅうり,7
# 甘い,甘くない
# みかん > 柿 = りんご > ぶどう > さくらんぼ > イチゴ > メロン
みかん,1,柿,2,りんご,2,ぶどう,4,さくらんぼ,5,イチゴ,6,メロン,7
# 大きい,小さい
# メロン > りんご > 柿 > みかん > イチゴ > ぶどう = さくらんぼ
メロン,1,りんご,2,柿,3,みかん,4,イチゴ,5,ぶどう,6,さくらんぼ,6
# かしこい,ばかだ
# 犬 > ライオン > クジラ > 熊 > ネズミ
犬,1,ライオン,2,クジラ,3,熊,4,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 > ライオン > 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > オパール > サファイア > ガーネット > ターコイズ
パール,1,オパール,2,サファイア,3,ガーネット,4,ターコイズ,5
# 珍しい,珍しくない
# オパール > パール > サファイア > ガーネット > ターコイズ
オパール,1,パール,2,サファイア,3,ガーネット,4,ターコイズ,5
# 優雅だ,優雅でない
# ヴァイオリン = フルート > クラリネット = チェロ = ハープ
ヴァイオリン,1,フルート,1,クラリネット,3,チェロ,3,ハープ,3
# 心地よい,不快だ
# ハープ = フルート = ヴァイオリン > チェロ = クラリネット
ハープ,1,フルート,1,ヴァイオリン,1,チェロ,4,クラリネット,4
# 綺麗だ,醜い
# サクラ > すずらん > 桔梗 > たんぽぽ > ひまわり
サクラ,1,すずらん,2,桔梗,3,たんぽぽ,4,ひまわり,5
# 好きだ,嫌いだ
# すずらん = たんぽぽ > サクラ > ひまわり = 桔梗
すずらん,1,たんぽぽ,1,サクラ,3,ひまわり,4,桔梗,4
# 美味しい,不味い
# ルノアール > コメダ > ドトール > タリーズ > サンマルク
ルノアール,1,コメダ,2,ドトール,3,タリーズ,4,サンマルク,5
# 高い,安い
# サンマルク > ルノアール > コメダ > タリーズ > ドトール
サンマルク,1,ルノアール,2,コメダ,3,タリーズ,4,ドトール,5
# 好調だ,不調だ
# パナソニック > 日立製作所 > キャノン > エプソン > ソニー > 東芝 = 富士通
パナソニック,1,日立製作所,2,キャノン,3,エプソン,4,ソニー,5,東芝,6,富士通,6
# 新しい,古い
# キャノン = エプソン > ソニー > パナソニック > 東芝 > 日立製作所 > 富士通
キャノン,1,エプソン,1,ソニー,3,パナソニック,4,東芝,5,日立製作所,6,富士通,7
# 裕福だ,貧乏だ
# アメリカ > ロシア > イギリス > スペイン > 中国 > タイ > インド
アメリカ,1,ロシア,2,イギリス,3,スペイン,4,中国,5,タイ,6,インド,7
# 広大だ,せまい
# 中国 > アメリカ > ロシア > インド > イギリス > スペイン > タイ
中国,1,アメリカ,2,ロシア,3,インド,4,イギリス,5,スペイン,6,タイ,7
# 暖かい,寒い
# タイ = インド > スペイン > アメリカ > イギリス > 中国 > ロシア
タイ,1,インド,1,スペイン,3,アメリカ,4,イギリス,5,中国,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ヤマハ > ホンダ > マツダ = ダイハツ
トヨタ,1,ヤマハ,2,ホンダ,3,マツダ,4,ダイハツ,4
# 有名だ,無名だ
# トヨタ > ホンダ > ヤマハ > ダイハツ = マツダ
トヨタ,1,ホンダ,2,ヤマハ,3,ダイハツ,4,マツダ,4
# 美味しい,不味い
# 日本酒 >> チューハイ = ハイボール > ビール = ウイスキー
日本酒,1,チューハイ,2,ハイボール,2,ビール,4,ウイスキー,4
# 高価だ,安価だ
# 日本酒 = ウイスキー > ビール > チューハイ = ハイボール
日本酒,1,ウイスキー,1,ビール,3,チューハイ,4,ハイボール,4
# 好きだ,嫌いだ
# チャーハン > ハンバーガー > ラーメン > カレー > ピザ
チャーハン,1,ハンバーガー,2,ラーメン,3,カレー,4,ピザ,5
# 脂っこい,脂っこくない
# ラーメン > チャーハン > ピザ > ハンバーガー > カレー
ラーメン,1,チャーハン,2,ピザ,3,ハンバーガー,4,カレー,5
# 高価だ,安価だ
# エアコン > 洗濯機 > カーナビ > カメラ > プリンタ
エアコン,1,洗濯機,2,カーナビ,3,カメラ,4,プリンタ,5
# うるさい,静かだ
# プリンタ > 洗濯機 > エアコン = カーナビ > カメラ
プリンタ,1,洗濯機,2,エアコン,3,カーナビ,3,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 雪 > 霜 = 霧 > 強風 > 雷 > 雨
晴天,1,雪,2,霜,3,霧,3,強風,5,雷,6,雨,7
# 珍しい,珍しくない
# 雪 > 霜 > 霧 > 雷 > 強風 > 雨 > 晴天
雪,1,霜,2,霧,3,雷,4,強風,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 豚肉 > 鶏肉 > 牛肉 > ラム肉 = 馬肉
豚肉,1,鶏肉,2,牛肉,3,ラム肉,4,馬肉,4
# 高価だ,安価だ
# ラム肉 > 馬肉 > 牛肉 > 豚肉 > 鶏肉
ラム肉,1,馬肉,2,牛肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 > 東寺 > 薬師寺 > 善光寺 > 中尊寺 > 増上寺
銀閣寺,1,東寺,2,薬師寺,3,善光寺,4,中尊寺,5,増上寺,6
# 立派だ,立派でない
# 銀閣寺 > 善光寺 > 薬師寺 = 中尊寺 = 増上寺 > 東寺
銀閣寺,1,善光寺,2,薬師寺,3,中尊寺,3,増上寺,3,東寺,6
# メジャーだ,マイナーだ
# 野球 = サッカー > バスケ = テニス = バレー > 相撲 > 卓球
野球,1,サッカー,1,バスケ,3,テニス,3,バレー,3,相撲,6,卓球,7
# 得意だ,苦手だ
# 卓球 > バレー > バスケ > サッカー > テニス = 野球 = 相撲
卓球,1,バレー,2,バスケ,3,サッカー,4,テニス,5,野球,5,相撲,5
# 快適だ,不快だ
# 新幹線 > 電車 > タクシー > バス > 飛行機
新幹線,1,電車,2,タクシー,3,バス,4,飛行機,5
# 速い,遅い
# 新幹線 > 電車 > 飛行機 > タクシー > バス
新幹線,1,電車,2,飛行機,3,タクシー,4,バス,5
# 安全だ,危険だ
# 新幹線 > 電車 > バス > タクシー > 飛行機
新幹線,1,電車,2,バス,3,タクシー,4,飛行機,5
# 可愛い,可愛くない
# 釈由美子 > 北乃きい > 優香 > 吹石一恵 > 友近 > 南明奈 > 梨花
釈由美子,1,北乃きい,2,優香,3,吹石一恵,4,友近,5,南明奈,6,梨花,7
# 面白い,つまらない
# 友近 > 釈由美子 > 北乃きい > 優香 > 梨花 > 南明奈 > 吹石一恵
友近,1,釈由美子,2,北乃きい,3,優香,4,梨花,5,南明奈,6,吹石一恵,7
# 甘い,甘くない
# ショートケーキ > チョコレートケーキ > ロールケーキ = チーズケーキ > シフォンケーキ
ショートケーキ,1,チョコレートケーキ,2,ロールケーキ,3,チーズケーキ,3,シフォンケーキ,5
# 好きだ,嫌いだ
# チーズケーキ = シフォンケーキ > チョコレートケーキ = ロールケーキ > ショートケーキ
チーズケーキ,1,シフォンケーキ,1,チョコレートケーキ,3,ロールケーキ,3,ショートケーキ,5
# 美味しい,不味い
# スコーン > マフィン > カステラ > マカロン > ベーグル
スコーン,1,マフィン,2,カステラ,3,マカロン,4,ベーグル,5
# おしゃれだ,おしゃれでない
# マカロン > ベーグル = マフィン = スコーン > カステラ
マカロン,1,ベーグル,2,マフィン,2,スコーン,2,カステラ,5
# 美味しい,不味い
# 紅茶 = ココア > 抹茶 = 緑茶 > オレンジジュース
紅茶,1,ココア,1,抹茶,3,緑茶,3,オレンジジュース,5
# 好きだ,嫌いだ
# カツカレー > 串かつ > 牛タン > 讃岐うどん > お好み焼き
カツカレー,1,串かつ,2,牛タン,3,讃岐うどん,4,お好み焼き,5
# 高価だ,安価だ
# 牛タン > カツカレー > お好み焼き > 串かつ > 讃岐うどん
牛タン,1,カツカレー,2,お好み焼き,3,串かつ,4,讃岐うどん,5
# 暖かい,寒い
# 沖縄 > 神戸 > 大阪 > 名古屋 > 福岡 > 東京 > 札幌
沖縄,1,神戸,2,大阪,3,名古屋,4,福岡,5,東京,6,札幌,7
# 遠い,近い
# 沖縄 = 札幌 > 東京 > 名古屋 > 福岡 > 大阪 > 神戸
沖縄,1,札幌,1,東京,3,名古屋,4,福岡,5,大阪,6,神戸,7
# ヘルシーだ,ヘルシーでない
# タイ料理 > 韓国料理 > スペイン料理 > インド料理 > 中華料理
タイ料理,1,韓国料理,2,スペイン料理,3,インド料理,4,中華料理,5
# 辛い,辛くない
# 中華料理 > タイ料理 > 韓国料理 > インド料理 > スペイン料理
中華料理,1,タイ料理,2,韓国料理,3,インド料理,4,スペイン料理,5
# 優秀だ,優秀でない
# 医師 > 科学者 > 宇宙飛行士 > 警察官 > 作曲者
医師,1,科学者,2,宇宙飛行士,3,警察官,4,作曲者,5
# 過酷だ,過酷でない
# 医師 > 宇宙飛行士 > 警察官 > 科学者 >> 作曲者
医師,1,宇宙飛行士,2,警察官,3,科学者,4,作曲者,5
# 面白い,つまらない
# 美女と野獣 > となりのトトロ > 風の谷のナウシカ > 不思議の国のアリス > スター・ウォーズ
美女と野獣,1,となりのトトロ,2,風の谷のナウシカ,3,不思議の国のアリス,4,スター・ウォーズ,5
# 新しい,古い
# スター・ウォーズ > 不思議の国のアリス > 美女と野獣 > となりのトトロ > 風の谷のナウシカ
スター・ウォーズ,1,不思議の国のアリス,2,美女と野獣,3,となりのトトロ,4,風の谷のナウシカ,5
# 必須だ,無駄だ
# 国語 > 英語 > 数学 > 世界史 > 体育
国語,1,英語,2,数学,3,世界史,4,体育,5
# 簡単だ,難しい
# 国語 > 体育 > 世界史 > 英語 > 数学
国語,1,体育,2,世界史,3,英語,4,数学,5
# 楽しい,楽しくない
# ドライブ > 読書 > 釣り > ＢＢＱ > サーフィン > ジョギング
ドライブ,1,読書,2,釣り,3,ＢＢＱ,4,サーフィン,5,ジョギング,6
# 有意義だ,有意義でない
# 読書 > ジョギング > ＢＢＱ > サーフィン > ドライブ > 釣り
読書,1,ジョギング,2,ＢＢＱ,3,サーフィン,4,ドライブ,5,釣り,6
# 手軽だ,手軽でない
# 読書 >> ジョギング >> ドライブ > ＢＢＱ > 釣り >> サーフィン
読書,1,ジョギング,2,ドライブ,3,ＢＢＱ,4,釣り,5,サーフィン,6
# 面白い,つまらない
# Ｔｗｉｔｔｅｒ > ニコ動 > Ｙｏｕｔｕｂｅ > インスタグラム > Ｆａｃｅｂｏｏｋ
Ｔｗｉｔｔｅｒ,1,ニコ動,2,Ｙｏｕｔｕｂｅ,3,インスタグラム,4,Ｆａｃｅｂｏｏｋ,5
# 便利だ,便利でない
# Ｔｗｉｔｔｅｒ > Ｙｏｕｔｕｂｅ > ニコ動 > インスタグラム > Ｆａｃｅｂｏｏｋ
Ｔｗｉｔｔｅｒ,1,Ｙｏｕｔｕｂｅ,2,ニコ動,3,インスタグラム,4,Ｆａｃｅｂｏｏｋ,5
# 面白い,つまらない
# ジョジョ >> ドラゴンボール = エヴァ > プリキュア = セーラームーン > ＧＴＯ
ジョジョ,1,ドラゴンボール,2,エヴァ,2,プリキュア,4,セーラームーン,4,ＧＴＯ,6
# 若い,若くない
# 鳩山由紀夫 > 麻生太郎 > 安倍晋三 > 小泉純一郎 > 田中角栄
鳩山由紀夫,1,麻生太郎,2,安倍晋三,3,小泉純一郎,4,田中角栄,5
# 好きだ,嫌いだ
# 麻生太郎 > 安倍晋三 > 小泉純一郎 > 田中角栄 = 鳩山由紀夫
麻生太郎,1,安倍晋三,2,小泉純一郎,3,田中角栄,4,鳩山由紀夫,4
# 好調だ,不調だ
# アップル > サムスン > グーグル > マイクロソフト > ヤフー
アップル,1,サムスン,2,グーグル,3,マイクロソフト,4,ヤフー,5
# 不可欠だ,不要だ
# グーグル > マイクロソフト > アップル > ヤフー > サムスン
グーグル,1,マイクロソフト,2,アップル,3,ヤフー,4,サムスン,5
# 偉大だ,偉大でない
# エジソン > ニュートン > 聖徳太子 > 坂本龍馬 > 宮沢賢治
エジソン,1,ニュートン,2,聖徳太子,3,坂本龍馬,4,宮沢賢治,5
# 好きだ,嫌いだ
# 坂本龍馬 > 宮沢賢治 > エジソン > 聖徳太子 = ニュートン
坂本龍馬,1,宮沢賢治,2,エジソン,3,聖徳太子,4,ニュートン,4
# 面白い,つまらない
# 明石家さんま > タモリ > ビートたけし > 所ジョージ >> 島田紳助
明石家さんま,1,タモリ,2,ビートたけし,3,所ジョージ,4,島田紳助,5
# 若い,若くない
# 所ジョージ = 明石家さんま = 島田紳助 > タモリ > ビートたけし
所ジョージ,1,明石家さんま,1,島田紳助,1,タモリ,4,ビートたけし,5
# 貴重だ,貴重でない
# 皇居 > 出雲大社 > 大阪城 > 琵琶湖 > 通天閣
皇居,1,出雲大社,2,大阪城,3,琵琶湖,4,通天閣,5
# 印象的だ,印象的でない
# 出雲大社 > 大阪城 > 通天閣 > 皇居 >> 琵琶湖
出雲大社,1,大阪城,2,通天閣,3,皇居,4,琵琶湖,5
# 新しい,古い
# 鎌倉時代 > 江戸時代 > 平安時代 > 奈良時代 > 弥生時代
鎌倉時代,1,江戸時代,2,平安時代,3,奈良時代,4,弥生時代,5
# 長い,短い
# 江戸時代 > 平安時代 > 鎌倉時代 > 奈良時代 > 弥生時代
江戸時代,1,平安時代,2,鎌倉時代,3,奈良時代,4,弥生時代,5
# 重要だ,重要でない
# 服装 = 話し方 > ルックス = 優しさ > 髪型
服装,1,話し方,1,ルックス,3,優しさ,3,髪型,5
# 若い,若くない
# 羽生結弦 > 錦織圭 > 内村航平 > ダルビッシュ > イチロー
羽生結弦,1,錦織圭,2,内村航平,3,ダルビッシュ,4,イチロー,5
# 素晴らしい,素晴らしくない
# イチロー > 錦織圭 = 羽生結弦 = 内村航平 > ダルビッシュ
イチロー,1,錦織圭,2,羽生結弦,2,内村航平,2,ダルビッシュ,5
